uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
245,/root/mainnet/NASChain/cache/models--TradingGodz--naschain/snapshots/e1e78ee510a4db86229bf437ea7023efff5ce175/model.pt,e1e78ee510a4db86229bf437ea7023efff5ce175,2024-07-19 13:01:35+00:00,2024-07-19 13:02:09,40000.0,87.0,True,False,False,True,TradingGodz/naschain,34.0,0.0
208,/root/NASChain/cache/models--summertime0--nashk1/snapshots/2f74c3135fb527719d1b5a63686588d2b349ebdf/model.pt,2f74c3135fb527719d1b5a63686588d2b349ebdf,2024-08-09 01:46:41+00:00,2024-08-09 02:02:10,53000.0,88.0,True,True,True,True,summertime0/nashk1,25.0,0.031948016213377894
207,/root/mainnet/NASChain/cache/models--finn03091993--naschainv207/snapshots/a2e0fddee0c1e93519d021190b6f5b28698b299e/model.pt,a2e0fddee0c1e93519d021190b6f5b28698b299e,2024-07-20 03:54:04+00:00,2024-07-20 04:09:39,13000.0,80.0,True,False,False,True,finn03091993/naschainv207,12.0,0.0
142,/root/NASChain/cache/models--summertime0--nashk9/snapshots/c7a4380ceb57e8fb825f8d3b6e3f7442b1854afd/model.pt,c7a4380ceb57e8fb825f8d3b6e3f7442b1854afd,2024-08-08 06:36:11+00:00,2024-08-08 08:30:19,40000.0,87.0,True,True,True,True,summertime0/nashk9,20.0,0.02991301020390923
15,/root/NASChain/cache/models--emphity3--naschain/snapshots/d32d73358e4e45fea6b0f761de7d7c4e708569e5/model.pt,d32d73358e4e45fea6b0f761de7d7c4e708569e5,2024-08-10 21:59:34+00:00,2024-08-10 22:17:32,20000.0,84.0,True,False,False,True,emphity3/naschain,11.0,0.0
243,/root/NASChain/cache/models--xtester--naschain/snapshots/ecbb55e17a5d1e1db63ce0996b483b9d8342a805/model.pt,ecbb55e17a5d1e1db63ce0996b483b9d8342a805,2024-08-07 02:20:37+00:00,2024-08-07 03:02:33,42000.0,86.0,True,True,True,True,xtester/naschain,17.0,0.02788768936598082
28,/root/mainnet/NASChain/cache/models--luuluumando--naschain/snapshots/9c4d1f93554c558c1b36d5dd92fd721745a8f340/model.pt,9c4d1f93554c558c1b36d5dd92fd721745a8f340,2024-06-29 10:24:47+00:00,2024-07-22 15:12:09,1071000.0,82.0,True,False,False,False,luuluumando/naschain,13.0,0.0
44,/root/mainnet/NASChain/cache/models--chutoro--naschain/snapshots/03e12b9d2f2fee23193e16add9b488240fa881ce/model.pt,03e12b9d2f2fee23193e16add9b488240fa881ce,2024-06-29 04:10:25+00:00,2024-07-22 15:13:44,309000.0,87.0,True,False,False,False,chutoro/naschain,32.0,0.0
48,/root/NASChain/cache/models--hungkvbn--48hk1/snapshots/fccdb77e1b782403e5b2d8b31e540cbaf1cceba3/model.pt,fccdb77e1b782403e5b2d8b31e540cbaf1cceba3,2024-08-07 00:56:18+00:00,2024-08-07 01:45:03,38000.0,87.0,True,True,True,True,hungkvbn/48hk1,25.0,0.029838942902820863
64,/root/NASChain/cache/models--impossibleexchange--nas6/snapshots/47297856e6a3891350fdf157341371ba4e43273f/model.pt,47297856e6a3891350fdf157341371ba4e43273f,2024-08-03 18:33:36+00:00,2024-08-03 21:45:41,1071000.0,83.0,True,False,False,False,impossibleexchange/nas6,13.0,0.0
